Date,Open,High,Low,Close,Volume,Adj Close,Drawdown
2010-10-11,10723.8,10756.9,10645.4,10700.8,145726000,10700.8,-0.328922530839035
2010-10-12,10637.9,10666.5,10529.7,10648.2,157526000,10648.2,-0.3322212257850078
2010-10-13,10680.2,10894.8,10662.4,10866.1,223613000,10866.1,-0.3185560997635726
2010-10-14,10898.8,10982.1,10847.4,10849.7,214966000,10849.7,-0.31958459020300134
2010-10-15,10866.0,10895.7,10785.7,10868.2,228686000,10868.2,-0.3184244028170603
2010-10-18,10820.1,10908.1,10751.2,10897.7,165844000,10897.7,-0.31657437428272195
2010-10-19,10883.7,11021.6,10854.1,10895.3,269322000,10895.3,-0.316724885078736
2010-10-20,10841.1,10915.3,10806.7,10896.9,172940000,10896.9,-0.31662454454806
2010-10-21,10830.2,10943.0,10797.5,10892.3,233268000,10892.3,-0.3169130235737535
2010-10-22,10860.6,10984.2,10826.1,10924.8,133642000,10924.8,-0.3148748565443975
2010-10-25,10986.0,10988.4,10835.2,10870.3,149932000,10870.3,-0.31829270587054814
2010-10-26,10825.0,10855.9,10729.7,10797.8,172823000,10797.8,-0.32283938616680363
2010-10-27,10747.4,10865.4,10693.7,10700.1,222956000,10700.1,-0.3289664298212057
2010-10-28,10715.7,10777.6,10657.3,10753.5,238585000,10753.5,-0.32561756460989477
2010-10-29,10735.3,10878.7,10683.9,10812.9,201939000,10812.9,-0.3218924224085491
2010-11-01,10901.8,10903.4,10602.2,10649.5,193508000,10649.5,-0.33213969910383356
2010-11-02,10562.2,10768.6,10540.2,10762.1,284248000,10762.1,-0.32507823425751137
2010-11-03,10788.5,10795.1,10528.4,10569.5,239127000,10569.5,-0.33715672563763266
2010-11-04,10698.4,10744.3,10567.4,10602.8,313369000,10602.8,-0.33506838834293884
2010-11-05,10657.5,10660.4,10369.9,10428.1,324960000,10428.1,-0.3460243200361226
2010-11-08,10335.0,10351.4,10217.4,10291.8,230096000,10291.8,-0.35457207899308285
2010-11-09,10254.4,10448.6,10237.7,10409.8,216064000,10409.8,-0.3471719648557291
2010-11-10,10379.6,10417.5,10171.1,10235.4,260498000,10235.4,-0.3581090826994111
2010-11-11,10224.5,10242.1,10062.9,10149.5,286054000,10149.5,-0.36349611494007783
2010-11-12,9980.4,10296.1,9891.0,10226.8,334717000,10226.8,-0.3586484130517945
2010-11-15,10165.5,10377.8,10131.6,10349.7,184836000,10349.7,-0.3509410060392456
2010-11-16,10264.9,10299.4,10095.4,10095.4,209493000,10095.4,-0.3668888791335595
2010-11-17,10085.6,10219.6,10074.0,10189.3,179678000,10189.3,-0.36100014423951277
2010-11-18,10250.3,10363.3,10249.0,10325.3,232811000,10325.3,-0.3524711991320545
